id,notation,name,startup,damage,chip-damage,range,block-frames,block-property,hit-frames,hit-property,counterhit-frames,counterhit-property,recovery-frames,active-frames,weak-side,notes,punishment-standing,punishment-crouching,TORNADO,HEAT ENGAGER,POWER CRUSH,HOMING,LOW CRUSH,HIGH CRUSH,WALL BREAK,WALL SPLAT,WALL CRUSH,CHIP,FLOOR BREAK,THROW 1,THROW 2,THROW 1+2
31,"f+4,1 [H]",Carving Cameo,"14,23","15,21",,"M,H","-10,-4",,"0,17",",KND",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,"f+4,2",Carving Intaglio,14,"15,20",,"M,M","-10,-12",,"0,5",,"0,7",",KND",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,f+1+2,Durandal,24,35,,M,-9,,17,KND,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,"d/f+1,1",Triliant Cut,"13,20,14","10,7,7",,"M,H,H","-2,-4",,"4,7",,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,d/f+2,Arcadia,15,14,,M,-14,,31,LAUNCH,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,"d/f+3,4,2",Iridescence of Loyalty,"16,21,32","10,14,33",,"M,M,S.M","-9,-9,-9",,"2,2,17",KND,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
37,"d/f+4,on hit or block,2",Selfish Miranda,"13,22","15,16",,"M,H","-10,-3",,"5,4",,,,,,,Iai on hit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,d/f+3+4,Llamrei,14,32,,M,-17,,16,KND,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,"d+1,1",Concave Cut,"16,18","7,15",,"L,H","-17,-6",,"-6,6",,,,,,,Jailing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,d+2,Llawfrodedd,18,21,,M,0,,17,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,d+3,Good manners,18,11,,L,-13,,-2,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,d+4,Fine salut,16,11,,L,-14,,-3,,0,KND,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,"d+4,(Counter hit)",Guilty Mariko,16,30,,L,-14,,-3,,0,KND,,,,On CH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,d+1+2,Iridescence of Prowess,19,21,,S.M,-9,,17,KND,35,KND,,,,ff2 on CH guaranteed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,"d/b+1,1 ",Emerald Cut,"14,21","9,9",,"M,M","-9,-7",,"-2,2",,,,,,,F to transition into PRF,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45#001,"d/b+1,1,F",Emerald Cut into Perfumer,"14,21","9,9",,"M,M","-9,-5",,"-2,4",,,,,,,Perfumer (PRF),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,d/b+3,Polite Greetings,19,20,,H,-8,,40,KND,67,LAUNCH,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,d/b+4,Welcome Sweep,20,17,,L,-26,,4,,49,LAUNCH,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,"d/b+4,(Counter hit)",Welcome Sweep,24,"17,5,2",,"L,S.M,S.M",-26,,4,,49,LAUNCH,,,,On CH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,"b+1,2",Vanity Love,"14,20","11,20",,"M,H","-13,-8",,"-3,0",,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,b+2 ,Strobing Memories,12,0,,H,-9,,2,,14,,,,,"on CH Guaranteed f+4,1 or other i14 moves",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,"b+3,1",Caval,"17,25",40,,"M,H","-9,-13",,"4,21",",KND",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,b+4 ,Cordial Circuit,18,17,,H,-6,,13,,14,,,,,"on CH Guaranteed f+4,1 or other i14 moves",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
53,b+1+2 ,Failnaught,15,25,,H,-9,,17,KND,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,b+1+4,Dun Stallion,26,24,,M,-21,,37,KND,,,,,,Backswing blow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
55,u+1+2,Caliburnus,31,40,,M,-20,,1,KND,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,"During Heat,u+1+2 ",Excalibur,31,54,,M,-4,,,KND,,,,,,with Heat active,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,"u/f+1,1",Gringolet,"13,25","9,21",,"M,M","-9,-14",,"4,15",KND,,,,,,Cancel with D into Iai,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,u/f+2 ,Marquise Cut,19,15,,M,"-9,-14",,7,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,u/f+3,Peaceful Shoes,18,17,,M,"-9,-14",,3,,36,KND,,,,"on CH Guaranteed f,F+2",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,u/f+4 ,Chatoyant Courage,"15,28","12,16",,"M,M","-19,-19",,73,LAUNCH,,,,,,(Hopkick),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,"f,F+2",Carnwennan,18,24,,M,-16,,33,LAUNCH,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,"f,f,F+2",Asterism of Virtue,16,30,,M,5,,16,KND,61,LAUNCH,,,,Tornado on CH,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,"d,d/f,f+2",Amour Shaft,22,16,,H,-3,,4,,,,,,,"Iai on hit, pew pew",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,"b,B+2+3",Montjoie Takemikazuchi,65,50,,M,,,,,,,,,,Unblockable (UB),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,"2,1,3,1,1,4,2,1,2,2",10 Hit combo,,,,,,,,,,,,,,10 hit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,2+3+4 ,Taunt,,,,,,,,,,,,,,TAUNT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,1+2+3+4 ,Ki Charge,,,,,,,,,,,,,,(Ki Charge),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,"ub,b ",Le Blanc,,,,,,,,,,,,,,(Teleport back),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69,"While rising,1",Oval Cut,15,20,,M,-16,,,LAUNCH,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,"While rising,2",Baguette Cut,12,15,,M,-8,,6,,35,LAUNCH,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,"While rising,3,2",Iridescence of Faith,"15,30","16,23",,"H,S.M","-14,-9",,"0,17",KND,"0,35",KND,,,,"Second hit CH guaranteed f,F+2",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,"While rising,4",Praise Smash,11,16,,M,-6,,5,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,"While rising,1+2",Pearly Gates,"13,9","10,17",,"M,M",-8,,8,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,"While crouching,1+2",Shangri-La,"16,10","10,10",,"L,H",-23,,0,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,"During sidestep,1+2",Dandy Blow,18,25,,M,-9,,15,KND,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,3+4,Iai stance,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
77,"During Iai Stance,1,1",Spumador,"13,25","9,21",,"M,M","-12,-14",,"1,15",,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,"During Iai Stance,1,2,2",Clarent,"13,22,23","9,15,12",,"M,M,M","-12,-19,-18",,"1,25,8",KND,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,"During Iai Stance,1,1+2",Chastiefol,"13,20","9,23","0,9","M,H","-12,3",,"1,20",KND,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
80,"During Iai Stance,2",Almace,16,23,,M,-7,,15,KND,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,"During Iai Stance,3",Sequence,"17,28","13,25",,"M,M",-14,,25,KND,,,,,,Powercrush,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,"During Iai Stance,4,2",Murgleys,"18,26","17,9",,"L,H","-13,-5",,"3,-5",,"8,26",KND,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,"During Iai Stance,1+2",Hauteclaire,20,30,,H,3,,20,KND,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,"During Iai Stance,d+2",Rhongomyniad,23,31,,M,1,,-1,KND,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85,"During Heat and Iai Stance,d+2",Longinus,23,45,,S.M,8,,-1,KND,,,,,,When Heat Active,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,"During Iai Stance,d+1+2",Espee Aventureuse,"20,14","10,20",,"L,L",-29,,-3,KND,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,"During Iai Stance,d",Take a bow,,,,,,,,,,,,,,stance duck,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,"During Iai Stance,f",Move forward,,,,,,,,,,,,,,Stance Low Parry active when moving F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,"During Iai Stance,b",Move backwards,,,,,,,,,,,,,,move back in stance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
90,f+3,Perfumer,,,,,,,,,,,,,,Perfumer Stance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,"During Perfumer Stance,1 ",Maceration,19,17,,L,-13,,4,,13,G,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
92,"During Perfumer Stance, 2,2,1",Top Note,"12,13,12","9,13,20",,"M,M,H","-8,-4,-1",,"1,5,12",,"1,5,55",",,LAUNCH",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
93,"During Perfumer Stance, 2,2,1+2",Last Note,"12,13,12,10,16",31,,"M,M,M,M,M","-8,-4,-13",,7,KND,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
94,"During Perfumer Stance, 3",Flying Gentleman,15,21,,M,-8,,17,KND,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,"During Perfumer Stance, 4",Cordial Circuit,18,17,,H,-6,,13,,14,,,,,"on CH Guaranteed f+4,1 or other i14 moves",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,"During Perfumer Stance,1+2",Hengroen,25,25,,M,4,,14,KND,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
97,"During Perfumer Stance,d/f",Silage,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
98,"Approach opponent,1+3",One Night Miracle,12,40,,,-3,,-2,KND,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
99,"Approach opponent,2+4",Je Te Veux,12,40,,,-3,,-2,KND,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
100,"Approach opponent from left side,1+4",One Night Miracle,12,40,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
101,"Approach opponent from right side,1+4",Je Te Veux,12,40,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102,"Approach opponent from behind,1+4",Farewell in Taj Mahal,12,50,,,,,-3,KND,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,"Approach opponent,u/f+1+2",,12,40,,,-3,,-4,KND,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
